Year,Percentage_Internet_User,Population
1960,0,88296070
1961,0,90791249
1962,0,93375850
1963,0,96051424
1964,0,98833749
1965,0,101365130
1966,0,103792754
1967,0,106526393
1968,0,109450006
1969,0,112517639
1970,0,115657495
1971,0,118833702
1972,0,122039841
1973,0,125288515
1974,0,128555045
1975,0,131843848
1976,0,135173655
1977,0,138533541
1978,0,141953163
1979,0,145434834
1980,0,148950540
1981,0,152485035
1982,0,156052152
1983,0,159651381
1984,0,163251124
1985,0,166776185
1986,0,170175065
1987,0,173511154
1988,0,176855065
1989,0,180201630
1990,0,183501098
1991,0,186778238
1992,0,190043744
1993,0,193305168
1994,0.001059744,196591828
1995,0.026109477,199888057
1996,0.056623989,203204348
1997,0.194910264,206536095
1998,0.255306646,209826788
1999,0.444415936,213004668
2000,0.925564,216077790
2001,2.01861,219097902
2002,2.13414,222088495
2003,2.38702,225048008
2004,2.60029,227926649
2007,5.78627,237062337
2008,7.91748,240157903
2009,6.92,243220028
2010,10.92,246305322
2011,12.28,249470032
2012,14.52,252698525
2013,14.94,255852467
2014,17.1432,258877399
2017,32.3358,267346658
2018,39.9046,269951846
2019,47.6906,272489381
2020,53.7265,274814866
2021,62.1045,276758053
2022,66.4846,278830529
2023,69.2084,281190067
